id,dialogue,reference_summary,beam1_summary,beam1_rouge1,beam1_rouge2,beam1_rougeL,beam2_summary,beam2_rouge1,beam2_rouge2,beam2_rougeL,beam4_summary,beam4_rouge1,beam4_rouge2,beam4_rougeL,beam6_summary,beam6_rouge1,beam6_rouge2,beam6_rougeL,beam8_summary,beam8_rouge1,beam8_rouge2,beam8_rougeL
13862856,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,Hannah wants to know Betty's number. Amanda can't find it. Larry called her last time they were at the park together. Hannah will text Larry.,41.8605,9.7561,37.2093,Hannah is looking for Betty's number. Amanda can't find it. Larry called Betty the last time they were at the park together.,40.0,10.5263,40.0,Hannah wants to know Betty's number but Amanda can't find it. Larry called her last time they were at the park together.,50.0,21.0526,45.0,Hannah wants to know Betty's number but Amanda can't find it.,62.069,29.6296,55.1724,Betty called Larry last time they were at the park together. Hannah wants Amanda to text Larry.,30.303,0.0,24.2424
13729565,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)",Eric and Rob are going to watch a stand-up on youtube.,"Eric and Rob are watching a stand-up of Russian comedian, MACHINE.",66.6667,54.5455,66.6667,Eric likes Rob's stand-up. Rob will watch some of his stand-ups on youtube.,50.0,15.3846,42.8571,Eric likes Rob's stand-up. Rob will watch some stand-ups on youtube.,53.8462,16.6667,46.1538,Eric likes Rob's stand-up. Rob will watch some stand-ups on youtube.,53.8462,16.6667,46.1538,Eric likes Rob's stand-up. Rob will watch some of his stand-ups on youtube.,50.0,15.3846,42.8571
13680171,"Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,Lenny will buy the first pair of purple trousers and the third pair of black trousers.,26.6667,0.0,22.2222,Lenny will buy the first pair of purple trousers and the third pair of black trousers.,26.6667,0.0,22.2222,Lenny will buy the first or the third pair of purple trousers from Bob.,27.907,0.0,18.6047,Lenny will buy the first or the third pair of purple trousers from Bob.,27.907,0.0,18.6047,Lenny will buy the first or the third pair of purple trousers from Bob.,27.907,0.0,18.6047
13729438,"Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ",Emma will be home soon and she will let Will know.,Emma will be home soon. Will will pick her up when he gets home.,56.0,34.7826,56.0,Emma will be home soon. Will will pick her up when he gets home.,56.0,34.7826,56.0,Emma will be home soon and will tell Will when she gets home.,75.0,45.4545,66.6667,Emma will be home soon. Will will pick her up when he gets home.,56.0,34.7826,56.0,Emma will be home soon. Will will pick her up when he gets home.,56.0,34.7826,56.0
13828600,"Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,Jane is in Warsaw. Ollie and Jane are going to have lunch on Friday. Oillie will bring the pastries.,35.4839,23.3333,32.2581,Jane is in Warsaw. Ollie and Jane will have lunch on Friday at 6 pm.,48.2759,32.1429,48.2759,Ollie and Jane will have lunch on Friday at 6 pm after their courses.,35.0877,18.1818,35.0877,Ollie and Jane will have lunch on Friday at 6 pm after their courses.,35.0877,18.1818,35.0877,Ollie and Jane will have lunch on Friday at 6 pm after their courses.,35.0877,18.1818,35.0877
13716964,"Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,Hilary has the keys. She will meet with French people at La Cantina at 2 pm. They will have lunch with some French people.,44.4444,32.9114,34.5679,Hilary has the keys. She will meet with French people at La Cantina at 2 pm. They will have lunch with some French people.,44.4444,32.9114,34.5679,Hilary and Elliot will meet at the entrance to the conference hall at 2 pm and go to La Cantina for Italian cuisine.,50.0,30.7692,37.5,Hilary and Elliot will meet at the entrance to the conference hall at 2 pm to have lunch with French people who work on the history of food in colonial Mexico.,50.0,30.2326,34.0909,Hilary and Elliot will meet at the entrance to the conference hall at 2 pm to have lunch with French people who work on the history of food in colonial Mexico.,50.0,30.2326,34.0909
13731487,"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Payton likes shopping. He likes browsing, trying on and looking in the mirror. He also likes reading.",38.2979,13.3333,34.0426,"Max will check out some good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror and seeing how he looks. Max will check them out.",40.0,13.7931,33.3333,"Max will check out some good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror and seeing how he looks. Max will check them out.",40.0,13.7931,33.3333,"Max will check out some good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror, but not always buying.",44.4444,19.2308,40.7407,"Max will check out some good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror, but not always buying.",44.4444,19.2308,40.7407
13814882,"Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.",Rita and Tina are bored at work and have still 4 hours left.,Rita is tired at work. Tina is nodding off at her keyboard. Rita is tired of working.,26.6667,7.1429,26.6667,Rita is tired at work. Tina keeps on nodding off at her keyboard. Rita hates her work.,26.6667,7.1429,26.6667,Rita is tired at work. Tina keeps on nodding off at her keyboard. Rita hates her work.,26.6667,7.1429,26.6667,Rita is tired at work. Tina is nodding off at her keyboard hoping that the boss doesn't notice. Rita hates her work.,22.2222,5.8824,22.2222,Rita is tired at work. Tina keeps on nodding off at her keyboard. Rita hates her work.,26.6667,7.1429,26.6667
13680876,"Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","Beatrice is in town, shopping. Leo doesn't have a scarf. Beatrice is going to buy one for him.",38.2979,13.3333,25.5319,"Beatrice is in town, shopping. Leo doesn't have a scarf. Beatrice is going to buy one for him.",38.2979,13.3333,25.5319,"Beatrice is in town, shopping. Leo doesn't need a scarf.",30.7692,10.8108,30.7692,"Beatrice is in town, shopping. Leo doesn't need a scarf.",30.7692,10.8108,30.7692,"Beatrice is shopping at the shop next to the church. Leo doesn't need a scarf, because last winter he had a cold all the time.",33.3333,7.6923,25.9259
13809974,"Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,Eric is not coming to Ivan's brother's wedding. He has a lot to do at home and he doesn't know if his parents would let him. Ivan will come to Eric's brother’s wedding.,61.0169,42.1053,47.4576,Eric won't come to Ivan's brother's wedding as he has a lot to do at home.,45.0,26.3158,45.0,Eric won't come to Ivan's brother's wedding as he has a lot to do at home.,45.0,26.3158,45.0,Eric won't come to Ivan's brother's wedding as he has a lot to do at home.,45.0,26.3158,45.0,Eric won't come to Ivan's brother's wedding as he has a lot to do at home.,45.0,26.3158,45.0
